id,pays,prix,carburant,km,statut_vendeur_particulier,departement_2,marque_2,annee,mois,poid,id
7421742,FR,17800,Diesel,95000,1,30,mercedes,2016,10,1102,2016.Diesel
7376421,FR,99800,Essence,32000,1,44,porsche,2016,10,225,2016.Essence
7393814,FR,26000,Diesel,11500,1,59,jeep,2016,10,1102,2016.Diesel
7499457,FR,25000,Diesel,34000,1,33,volkswagen,2016,10,1102,2016.Diesel
7364213,FR,13700,Diesel,86000,1,31,kia,2016,10,1102,2016.Diesel
7483937,FR,19000,Diesel,52000,1,34,kia,2016,10,1102,2016.Diesel
7442724,FR,18700,Essence,55400,1,26,jeep,2016,10,225,2016.Essence
7463755,FR,15000,Diesel,50000,1,57,alfa romeo,2016,10,1102,2016.Diesel
7459905,FR,4000,Diesel,88865,1,42,fiat,2016,10,1102,2016.Diesel
7482322,FR,6500,Diesel,110000,1,59,fiat,2016,10,1102,2016.Diesel
7454618,FR,25700,Diesel,40000,1,6,mercedes,2016,10,1102,2016.Diesel
7486808,FR,17000,Diesel,92100,1,25,mercedes,2016,10,1102,2016.Diesel
7450057,FR,36900,Diesel,37000,1,74,mercedes,2016,10,1102,2016.Diesel
7475912,FR,25900,Diesel,27000,1,69,mercedes,2016,10,1102,2016.Diesel
7428707,FR,79900,Diesel,5000,1,83,mercedes,2016,10,1102,2016.Diesel
7445783,FR,15700,Diesel,66000,1,54,volkswagen,2016,10,1102,2016.Diesel
7502720,FR,3900,Essence,114000,1,91,volkswagen,2016,10,225,2016.Essence
7427692,FR,13900,Diesel,97000,1,45,peugeot,2016,10,1102,2016.Diesel
7494006,FR,4200,Diesel,104300,1,2,fiat,2016,10,1102,2016.Diesel
7457812,FR,11000,Diesel,110000,1,59,chrysler,2016,10,1102,2016.Diesel
7427347,FR,22500,Essence,50000,1,75,mini,2016,10,225,2016.Essence
11489617,FR,12990,Diesel,133390,0,44,audi,2017,7,1786,2017.Diesel
11645514,FR,9000,Diesel,130000,1,59,volkswagen,2017,7,1786,2017.Diesel
